eps,min_samples,n_clusters,noise_ratio,largest_cluster
0.12483680868143654,7,788,0.4170605672167922,3954
0.13517641727470198,4,1781,0.23742188751802595,5169
0.18038620511599485,5,1066,0.206477327351386,5810
0.223498126350465,4,1216,0.11302275276398013,6591
0.14077937641525995,7,732,0.36732895369331836,4756
0.09956791259027163,4,2136,0.3453573145329274,2663
0.09733247259951623,4,2161,0.34858195801954817,2415
0.19920285604868931,4,1353,0.1415237942637398,6427
0.2133137526847821,4,1291,0.125,6660
0.07105561597082499,3,4377,0.347260054478449,2197
0.06331177139103564,6,1090,0.6623738182983496,2011
0.16888673275129035,3,2378,0.12179538535491108,6319
0.07923464883853966,4,2367,0.4275156224963948,2289
0.21493283809126829,4,1276,0.12387838487421887,6591
0.11206693478481489,4,2017,0.2993110078513059,4087
0.07877438659422853,6,1191,0.5639921486941195,2168
0.23419409449749007,5,901,0.1336524595417401,7428
0.08310634454705564,7,922,0.5955576029482454,2248
0.10694401646758711,4,2035,0.317757570902099,3885
0.08072267903841174,7,911,0.6052115045665759,2175
0.073098012733071,3,4326,0.33820701810607273,2186
0.05422960326728801,5,1424,0.6654182022111841,2074
0.061079081832852024,6,1035,0.6764941515782728,2017
0.08492829418717054,5,1614,0.46793382470757894,2340
0.06067638652543508,7,711,0.7317937830475886,1968
0.16822876322219427,4,1503,0.1808604390322064,5764
0.1861429053599013,3,2168,0.10891684024995994,5737
0.12872609136640567,6,924,0.3566535811568659,4596
0.11359821939040989,3,3210,0.21553036372376222,4356
0.15090524740444602,6,892,0.298369652299311,5310
0.22500098844692173,6,718,0.17663435346899536,5977
0.2202263253644412,7,573,0.21643166159269348,5951
0.058695012402558394,5,1498,0.6337125460663355,1992
0.08629968191930482,7,958,0.5721839448806281,2283
0.09734897422087921,3,3634,0.2534649895850024,2612
0.09987751516644237,5,1492,0.40107755167441117,2633
0.16424653034855455,3,2325,0.13369251722480371,6406
0.13325248514063848,6,885,0.3498638038775837,5045
0.0598508239855188,6,1004,0.6925372536452492,2116
0.12472282769191433,7,780,0.41283448165358116,4068
0.15475058974352746,6,853,0.2924411152058965,5461
0.0703343805807432,4,2462,0.4699367088607595,2169
0.21669171075771193,3,1861,0.08097660631309085,6564
0.06039237329302086,7,693,0.7352988303156546,1978
0.2349683738036124,5,871,0.13423329594616248,7265
0.0698226283159751,3,4348,0.3578352828072424,2125
0.21871499031955055,7,578,0.2189753244672328,6072
0.23053062878552344,7,579,0.19698365646531005,6508
0.24591413611731855,5,866,0.12229610639320622,6682
0.2104051760547187,6,749,0.19768466591892325,6677
0.20589550815426577,3,1963,0.09159189232494792,6574
0.17849665519910957,3,2193,0.11488543502643807,7299
0.20579927091562583,4,1345,0.1291459701970838,6798
0.07691044168262942,6,1178,0.5824987982695081,2150
0.15721360718952748,3,2479,0.1405423810286813,6245
0.15284457403808288,3,2490,0.14450809165197884,5731
0.2215144288245115,6,729,0.17929818939272552,6638
0.14255987311870316,6,916,0.32448726165678576,5029
0.1270178992200707,6,995,0.35927735939753247,4539
0.17791265424742203,6,788,0.24883832719115526,5624
0.10329266350016922,7,846,0.4951329915077712,2326
0.07795368219079138,6,1211,0.5642725524755648,2231
0.14557545480474915,5,1149,0.2727127062970678,5014
